project,table,variable,full_name,label,value_type,description,categories,categories_label
BiB_StartingSchool,stschool_ckat,ssckatraim06basePL6,BiB_StartingSchool.stschool_ckat.ssckatraim06basePL6,Aiming Baseline (Aim Number: 5 of 50) Path Length,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim06basePLT6,BiB_StartingSchool.stschool_ckat.ssckatraim06basePLT6,Aiming Baseline (Aim Number: 5 of 50) Path Length Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim06basePS6,BiB_StartingSchool.stschool_ckat.ssckatraim06basePS6,Aiming Baseline (Aim Number: 5 of 50) Peak Speed,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim06baseRT6,BiB_StartingSchool.stschool_ckat.ssckatraim06baseRT6,Aiming Baseline (Aim Number: 5 of 50) Reaction Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim06baseTPS6,BiB_StartingSchool.stschool_ckat.ssckatraim06baseTPS6,Aiming Baseline (Aim Number: 5 of 50) Time to Peak Speed,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim07baseDT7,BiB_StartingSchool.stschool_ckat.ssckatraim07baseDT7,Aiming Baseline (Aim Number: 6 of 50) Deceleration Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim07baseMT7,BiB_StartingSchool.stschool_ckat.ssckatraim07baseMT7,Aiming Baseline (Aim Number: 6 of 50) Movement Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim07baseNJ7,BiB_StartingSchool.stschool_ckat.ssckatraim07baseNJ7,Aiming Baseline (Aim Number: 6 of 50) Normalised Jerk,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim07basePL7,BiB_StartingSchool.stschool_ckat.ssckatraim07basePL7,Aiming Baseline (Aim Number: 6 of 50) Path Length,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim07basePLT7,BiB_StartingSchool.stschool_ckat.ssckatraim07basePLT7,Aiming Baseline (Aim Number: 6 of 50) Path Length Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim07basePS7,BiB_StartingSchool.stschool_ckat.ssckatraim07basePS7,Aiming Baseline (Aim Number: 6 of 50) Peak Speed,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim07baseRT7,BiB_StartingSchool.stschool_ckat.ssckatraim07baseRT7,Aiming Baseline (Aim Number: 6 of 50) Reaction Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim07baseTPS7,BiB_StartingSchool.stschool_ckat.ssckatraim07baseTPS7,Aiming Baseline (Aim Number: 6 of 50) Time to Peak Speed,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim08baseDT8,BiB_StartingSchool.stschool_ckat.ssckatraim08baseDT8,Aiming Baseline (Aim Number: 7 of 50) Deceleration Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim08baseMT8,BiB_StartingSchool.stschool_ckat.ssckatraim08baseMT8,Aiming Baseline (Aim Number: 7 of 50) Movement Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim08baseNJ8,BiB_StartingSchool.stschool_ckat.ssckatraim08baseNJ8,Aiming Baseline (Aim Number: 7 of 50) Normalised Jerk,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim08basePL8,BiB_StartingSchool.stschool_ckat.ssckatraim08basePL8,Aiming Baseline (Aim Number: 7 of 50) Path Length,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim08basePLT8,BiB_StartingSchool.stschool_ckat.ssckatraim08basePLT8,Aiming Baseline (Aim Number: 7 of 50) Path Length Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim08basePS8,BiB_StartingSchool.stschool_ckat.ssckatraim08basePS8,Aiming Baseline (Aim Number: 7 of 50) Peak Speed,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim08baseRT8,BiB_StartingSchool.stschool_ckat.ssckatraim08baseRT8,Aiming Baseline (Aim Number: 7 of 50) Reaction Time,decimal,,,
