variable,full_name,label,value_type,description,categories,categories_label
guchdTeachersports_3,BiB_GrowingUp.child_survey_child_comp.guchdTeachersports_3,Encouraged you to do physical activities or play sports?,decimal,,1|2|3|4|5,Never|Once|Sometimes|Almost everyday|Everyday
guchdTeachersports_4,BiB_GrowingUp.child_survey_child_comp.guchdTeachersports_4,Told you that you are doing well in physical activities?,decimal,,1|2|3|4|5,Never|Once|Sometimes|Almost everyday|Everyday
guchdHowGoodActivity_1,BiB_GrowingUp.child_survey_child_comp.guchdHowGoodActivity_1,Catching,decimal,,1|2|3|4|5,I can't do it|I am no good|I am okay|I am good at it|I am excellent at it
guchdHowGoodActivity_2,BiB_GrowingUp.child_survey_child_comp.guchdHowGoodActivity_2,Throwing,decimal,,1|2|3|4|5,I can't do it|I am no good|I am okay|I am good at it|I am excellent at it
guchdHowGoodActivity_3,BiB_GrowingUp.child_survey_child_comp.guchdHowGoodActivity_3,Kicking,decimal,,1|2|3|4|5,I can't do it|I am no good|I am okay|I am good at it|I am excellent at it
guchdHowGoodActivity_4,BiB_GrowingUp.child_survey_child_comp.guchdHowGoodActivity_4,Running,decimal,,1|2|3|4|5,I can't do it|I am no good|I am okay|I am good at it|I am excellent at it
guchdHowGoodActivity_5,BiB_GrowingUp.child_survey_child_comp.guchdHowGoodActivity_5,Jumping,decimal,,1|2|3|4|5,I can't do it|I am no good|I am okay|I am good at it|I am excellent at it
guchdHowGoodActivity_6,BiB_GrowingUp.child_survey_child_comp.guchdHowGoodActivity_6,Riding a bike,decimal,,1|2|3|4|5,I can't do it|I am no good|I am okay|I am good at it|I am excellent at it
guchdHowGoodActivity_7,BiB_GrowingUp.child_survey_child_comp.guchdHowGoodActivity_7,Swimming,decimal,,1|2|3|4|5,I can't do it|I am no good|I am okay|I am good at it|I am excellent at it
guchdHowGoodActivity_8,BiB_GrowingUp.child_survey_child_comp.guchdHowGoodActivity_8,Balancing on one leg,decimal,,1|2|3|4|5,I can't do it|I am no good|I am okay|I am good at it|I am excellent at it
